x,y,pixel_x,pixel_y,gap_before
6.21,0.2185,126,707,0
9.1,0.2172,140,708,0
12.21,0.2212,155,705,0
15.31,0.2305,170,698,0
17.79,0.2397,182,691,0
19.45,0.2543,190,680,0
20.69,0.245,196,687,0
21.93,0.2596,202,676,0
23.59,0.2649,210,672,0
25.24,0.2768,218,663,0
26.69,0.294,225,650,0
27.31,0.3139,228,635,0
29.38,0.2887,238,654,1
30.62,0.2675,244,670,0
32.28,0.253,252,681,0
34.97,0.2424,265,689,0
38.07,0.2344,280,695,0
42.21,0.2331,300,696,0
46.34,0.2344,320,695,0
50.48,0.2384,340,692,0
54.62,0.2424,360,689,0
58.76,0.2437,380,688,0
62.9,0.2464,400,686,0
67.03,0.2424,420,689,0
71.17,0.2358,440,694,0
75.31,0.2305,460,698,0
79.45,0.2199,480,706,0
83.59,0.2119,500,712,0
