x,y,pixel_x,pixel_y,gap_before
1.15,0.42,701,773,0
1.3,0.31,709,795,0
1.35,0.48,712,761,0
1.45,0.36,717,785,0
1.5,0.55,720,747,0
1.55,0.25,723,808,0
1.6,0.42,725,773,0
1.65,0.31,728,795,0
1.7,0.5,731,757,0
1.75,0.39,734,779,0
1.8,0.57,736,743,0
1.85,0.46,739,765,0
1.9,0.35,742,787,0
1.95,0.52,744,753,0
2.0,0.42,747,773,0
2.05,0.55,750,747,0
2.1,0.47,753,763,0
2.2,0.4,758,777,0
2.3,0.52,764,753,0
2.55,0.41,777,775,0
2.9,0.49,797,759,0
4.6,0.3,890,797,0
4.7,0.1,895,838,0
5.5,0.38,939,781,0
