x,y,pixel_x,pixel_y,gap_before
4000,0.529,98,661,0
3799.2,0.526,126,662,0
3756.1,0.511,132,666,0
3698.8,0.482,140,674,0
3627,0.464,150,679,0
3555.3,0.453,160,682,0
3454.9,0.449,174,683,1
3340.2,0.456,190,681,0
3125,0.478,220,675,0
2909.8,0.5,250,669,0
2694.7,0.515,280,665,0
2479.5,0.522,310,663,0
2192.6,0.515,350,665,0
1905.7,0.511,390,666,0
1733.6,0.5,414,669,0
1676.2,0.474,422,676,0
1597.3,0.489,433,672,1
1547.1,0.504,440,668,0
1489.8,0.504,448,668,0
1432.4,0.478,456,675,0
1375,0.496,464,670,0
1317.6,0.482,472,674,0
1260.2,0.485,480,673,0
1217.2,0.456,486,681,0
1116.8,0.453,500,682,0
1045.1,0.453,510,682,0
959,0.467,522,678,1
901.6,0.482,530,674,0
829.9,0.456,540,681,0
758.2,0.453,550,682,0
672.1,0.456,562,681,1
578.9,0.46,575,680,0
500,0.467,586,678,0
