x,y,pixel_x,pixel_y,gap_before
10,0.17,193,344,0
16.4,0.17,237,343,0
16.7,0.23,239,328,0
17,0.17,241,343,0
20.7,0.17,267,343,0
21,0.22,269,331,0
21.3,0.17,271,343,0
25.8,0.18,302,341,0
26.4,0.27,306,317,0
26.7,0.25,308,322,0
27,0.18,310,342,0
28.7,0.18,322,341,0
29.7,0.21,329,334,0
30.3,0.18,333,342,0
31.4,0.19,341,338,0
33.2,0.17,353,344,0
35.5,0.15,369,348,0
39.4,0.17,396,345,0
40.8,0.17,406,344,0
42.2,0.16,415,346,0
50,0.12,469,357,0
60.5,0.16,541,347,0
70,0.09,607,366,1
