x,y,pixel_x,pixel_y,gap_before
7.1,0.581,95,398,0
8.0,0.586,100,395,0
8.8,0.668,104,339,0
9.0,0.591,105,391,0
10.0,0.58,111,399,0
12.0,0.578,122,400,0
14.0,0.586,133,395,0
15.5,0.608,142,380,0
16.7,0.63,148,365,0
17.5,0.686,153,327,0
17.7,0.628,154,366,0
18.5,0.655,158,348,0
19.0,0.681,161,330,0
19.5,0.758,164,278,0
19.8,0.796,165,252,0
20.0,0.673,167,336,0
30.0,0.646,222,354,1
31.0,0.637,228,360,0
32.0,0.652,233,350,0
33.0,0.63,239,365,0
34.0,0.652,244,350,0
35.1,0.71,250,311,0
35.4,0.655,252,348,0
36.0,0.689,255,325,0
36.4,0.637,258,360,0
38.0,0.649,266,352,0
40.2,0.681,279,330,0
40.5,0.637,280,360,0
42.0,0.645,289,355,0
45.3,0.708,307,312,0
45.6,0.642,309,357,0
47.0,0.652,316,350,0
50.2,0.711,334,310,0
50.5,0.646,336,354,0
53.0,0.645,350,355,0
55.0,0.655,361,348,0
57.0,0.667,372,340,0
59.0,0.673,383,336,0
61.0,0.681,394,330,0
63.0,0.695,405,321,0
65.0,0.702,416,316,0
67.0,0.711,427,310,0
69.0,0.712,439,309,0
71.0,0.706,450,313,0
73.0,0.708,461,312,0
75.0,0.696,472,320,0
77.0,0.683,483,329,0
79.0,0.667,494,340,0
81.0,0.652,505,350,0
83.0,0.634,516,362,0
85.0,0.622,527,370,0
