x,y,pixel_x,pixel_y,gap_before
10,0.57,193,238,0
16.4,0.56,237,239,0
16.7,0.62,239,225,0
17,0.56,241,239,0
20.7,0.55,267,242,0
21,0.6,269,229,0
21.3,0.55,271,242,0
25.8,0.56,302,239,0
26.4,0.64,306,220,0
26.7,0.61,308,226,0
27,0.56,310,241,0
28.7,0.56,322,239,0
29.7,0.61,329,227,0
30.3,0.57,333,237,0
31.4,0.58,341,234,0
33.2,0.56,353,240,0
35.5,0.54,369,246,0
39.4,0.56,396,241,0
40.8,0.57,406,238,0
42.2,0.55,415,243,0
50,0.51,469,253,0
60.5,0.55,541,243,0
70,0.46,607,266,1
