x,y,pixel_x,pixel_y,gap_before
4000,0.423,98,690,0
3799.2,0.423,126,690,0
3756.1,0.409,132,694,0
3698.8,0.38,140,702,0
3627,0.358,150,708,0
3555.3,0.347,160,711,0
3454.9,0.343,174,712,1
3340.2,0.35,190,710,0
3125,0.369,220,705,0
2909.8,0.391,250,699,0
2694.7,0.405,280,695,0
2479.5,0.412,310,693,0
2192.6,0.405,350,695,0
1905.7,0.401,390,696,0
1733.6,0.391,414,699,0
1676.2,0.365,422,706,0
1597.3,0.38,433,702,1
1547.1,0.394,440,698,0
1489.8,0.394,448,698,0
1432.4,0.369,456,705,0
1375,0.387,464,700,0
1317.6,0.372,472,704,0
1260.2,0.376,480,703,0
1217.2,0.347,486,711,0
1116.8,0.343,500,712,0
1045.1,0.343,510,712,0
959,0.358,522,708,1
901.6,0.372,530,704,0
829.9,0.347,540,711,0
758.2,0.343,550,712,0
672.1,0.347,562,711,1
578.9,0.35,575,710,0
500,0.358,586,708,0
