x,y,pixel_x,pixel_y,gap_before
5.5,0.132,345,879,0
6.2,0.119,347,902,0
7.1,0.108,350,922,0
8.3,0.097,353,941,0
10,0.088,357,956,0
13,0.08,362,974,0
18,0.073,369,987,0
27,0.066,377,999,0
45,0.06,387,1010,0
75,0.056,397,1017,0
120,0.053,407,1023,0
220,0.05,418,1028,0
400,0.044,430,1039,0
700,0.037,441,1052,0
1100,0.033,450,1059,0
2500,0.03,466,1064,0
10000,0.029,493,1066,0
30000,0.027,515,1069,0
70000,0.023,532,1076,0
120000,0.017,543,1087,0
180000,0.009,551,1103,0
230000,0.002,555,1115,0
