x,y,pixel_x,pixel_y,gap_before
1800,0.468,678,1228,0
1750,0.472,698,1226,0
1700,0.495,718,1215,0
1673,0.536,729,1195,0
1643,0.579,741,1174,0
1622,0.546,750,1190,0
1600,0.509,759,1208,0
1550,0.487,779,1219,0
1200,0.503,920,1211,1
1175,0.557,930,1185,0
1150,0.629,940,1150,0
1125,0.662,950,1134,0
1100,0.649,961,1140,0
1075,0.674,971,1128,0
1050,0.753,981,1090,0
1025,0.856,991,1040,0
1000,0.924,1001,1007,0
984,0.94,1007,999,0
970,0.924,1013,1007,0
950,0.825,1021,1055,0
925,0.705,1031,1113,0
900,0.672,1041,1129,0
878,0.701,1050,1115,0
860,0.736,1058,1098,0
840,0.715,1066,1108,0
800,0.703,1082,1114,0
750,0.73,1102,1101,0
700,0.769,1122,1082,0
