x,y,pixel_x,pixel_y,gap_before
5,0.2,411,1410,0
7.5,0.3,422,1383,0
10,0.38,433,1362,0
12.5,0.43,444,1349,0
15,0.48,456,1335,0
17.5,0.53,467,1322,0
20,0.58,478,1309,0
22.5,0.62,489,1298,0
25,0.66,500,1287,0
27.5,0.69,511,1279,0
30,0.72,522,1271,0
32.5,0.74,533,1266,0
35,0.76,544,1261,0
37.5,0.78,555,1256,0
40,0.79,566,1253,0
42.5,0.81,577,1248,0
45,0.8,589,1250,0
47.5,0.8,600,1250,0
50,0.8,611,1250,0
52.5,0.8,622,1250,0
55,0.8,633,1250,0
57.5,0.8,644,1250,0
60,0.8,655,1250,0
62.5,0.8,666,1250,0
65,0.8,677,1250,0
67.5,0.8,688,1250,0
70,0.81,699,1248,0
72.5,0.81,710,1248,0
75,0.81,721,1248,0
77.5,0.81,733,1248,0
80,0.82,744,1245,0
82.5,0.82,755,1245,0
85,0.82,766,1245,0
87.5,0.82,777,1245,0
90,0.83,788,1242,0
92.5,0.83,799,1242,0
95,0.83,810,1242,0
97.5,0.84,821,1240,0
100,0.84,832,1240,0
102.5,0.85,843,1237,0
105,0.85,854,1237,0
107.5,0.86,866,1234,0
110,0.86,877,1234,0
112.5,0.87,888,1232,0
115,0.88,899,1229,0
117.5,0.86,910,1234,0
120,0.83,921,1242,0
