x,y,pixel_x,pixel_y,gap_before
300,0.1026,371,531,0
290.15,0.1026,380,531,0
284.67,0.1105,385,528,0
279.2,0.1342,390,519,0
274.82,0.1289,394,521,0
269.34,0.1079,399,529,0
260.58,0.1026,407,531,0
240.88,0.1053,425,530,0
218.98,0.1053,445,530,0
202.55,0.1053,460,530,0
193.8,0.1105,468,528,0
189.42,0.1368,472,518,0
185.04,0.1447,476,515,0
179.56,0.1184,481,525,0
170.8,0.1079,489,529,0
147.81,0.1079,510,529,0
128.1,0.1079,528,529,0
114.96,0.1132,540,527,0
106.2,0.1421,548,516,0
97.45,0.1684,556,506,0
87.59,0.1763,565,503,0
79.93,0.1658,572,507,0
72.26,0.1474,579,514,0
62.41,0.1395,588,517,0
51.46,0.1342,598,519,0
41.61,0.1474,607,514,0
32.85,0.1842,615,500,0
26.28,0.25,621,475,0
20.8,0.3553,626,435,0
15.33,0.5395,631,365,0
9.85,0.7474,636,286,0
4.38,0.9079,641,225,0
2.19,0.9553,643,207,0
-9.85,0.8526,654,246,1
-14.23,0.65,658,323,0
-19.71,0.4211,663,410,0
-25.18,0.2684,668,468,0
-31.75,0.1842,674,500,0
-40.51,0.1447,682,515,0
-50.36,0.1263,691,522,0
-64.6,0.1184,704,525,0
-74.45,0.1316,713,520,0
-79.93,0.1605,718,509,0
-84.31,0.1526,722,512,0
-90.88,0.1368,728,518,0
-101.82,0.1289,738,521,0
-113.87,0.1105,749,528,0
-131.39,0.1053,765,530,0
-154.38,0.1053,786,530,0
-163.14,0.1158,794,526,0
-168.61,0.1395,799,517,0
-172.99,0.1316,803,520,0
-180.66,0.1105,810,528,0
-199.27,0.1026,827,531,0
-220.07,0.1026,846,531,0
-241.97,0.1053,866,530,0
-252.92,0.1132,876,527,0
-259.49,0.1368,882,518,0
-264.96,0.1158,887,526,0
-272.63,0.1053,894,530,0
-285.77,0.1026,906,531,0
-300,0.1026,919,531,0
