x,y,pixel_x,pixel_y,gap_before
10,0.16,193,668,0
16.4,0.16,237,668,0
16.7,0.21,239,655,0
17,0.16,241,668,0
20.7,0.15,267,671,0
21,0.2,269,658,0
21.3,0.15,271,671,0
25.8,0.16,302,669,0
26.4,0.26,306,641,0
26.7,0.23,308,649,0
27,0.16,310,668,0
28.7,0.17,322,667,0
29.3,0.22,326,652,0
30.3,0.17,333,666,0
31.4,0.18,341,662,0
33.2,0.16,353,668,0
35.5,0.14,369,674,0
39.4,0.16,396,669,0
40.8,0.17,406,666,0
42.2,0.15,415,671,0
48.2,0.15,455,672,0
60.7,0.15,541,670,0
70,0.08,607,690,1
