x,y,pixel_x,pixel_y,gap_before
10,0.135,117,360,0
10.56,0.131,122,361,0
11.22,0.128,128,362,0
12,0.124,135,363,0
12.9,0.121,143,364,0
13.79,0.121,151,364,0
14.68,0.124,159,363,0
15.57,0.131,167,361,0
16.46,0.138,175,359,0
17.35,0.149,183,356,0
18.13,0.163,190,352,0
18.91,0.177,197,348,0
19.69,0.188,204,345,0
20.24,0.199,209,342,0
20.58,0.209,212,339,0
20.8,0.181,214,347,0
21.14,0.156,217,354,0
21.36,0.202,219,341,0
21.58,0.312,221,310,0
21.8,0.422,223,279,0
21.92,0.326,224,306,0
22.14,0.202,226,341,0
22.36,0.167,228,351,0
22.69,0.149,231,356,0
23.14,0.138,235,359,0
23.7,0.131,240,361,0
24.48,0.131,247,361,0
25.26,0.128,254,362,0
26.04,0.142,261,358,0
26.48,0.188,265,345,0
26.7,0.227,267,334,0
26.82,0.152,268,355,0
27.04,0.128,270,362,0
27.48,0.121,274,364,0
28.04,0.128,279,362,0
28.49,0.152,283,355,0
28.71,0.124,285,363,0
29.15,0.117,289,365,0
29.82,0.113,295,366,0
30.49,0.124,301,363,0
31.05,0.145,306,357,0
31.38,0.17,309,350,0
31.6,0.138,311,359,0
31.94,0.113,314,366,0
32.49,0.103,319,369,0
33.16,0.099,325,370,0
33.94,0.099,332,370,0
34.72,0.117,339,365,0
35.61,0.149,347,356,0
36.06,0.106,351,368,0
36.61,0.092,356,372,0
37.39,0.089,363,373,0
38.29,0.085,371,374,0
39.18,0.085,379,374,0
39.96,0.096,386,371,0
40.29,0.11,389,367,0
40.62,0.089,392,373,0
41.29,0.082,398,375,0
42.07,0.085,405,374,0
42.74,0.106,411,368,0
43.07,0.085,414,374,0
43.74,0.074,420,377,0
44.63,0.074,428,377,0
45.63,0.071,437,378,0
46.64,0.074,446,377,0
47.64,0.074,455,377,0
48.64,0.078,464,376,0
49.53,0.096,472,371,0
50.2,0.113,478,366,0
50.65,0.082,482,375,0
51.43,0.071,489,378,0
52.43,0.067,498,379,0
53.43,0.071,507,378,0
54.43,0.067,516,379,0
55.43,0.071,525,378,0
56.33,0.089,533,373,0
56.99,0.103,539,369,0
57.33,0.074,542,377,0
58.11,0.067,549,379,0
59,0.064,557,380,0
60,0.064,566,380,0
