x,y,pixel_x,pixel_y,gap_before
10,0.56,649,561,0
16.4,0.55,693,564,0
16.7,0.61,695,548,0
17,0.55,697,564,0
20.7,0.54,723,567,0
21,0.6,725,551,0
21.3,0.54,727,567,0
23.3,0.56,741,562,0
25.8,0.57,758,559,0
26.4,0.67,762,532,0
26.7,0.63,764,542,0
27,0.57,766,559,0
28.7,0.58,778,555,0
29.7,0.64,785,540,0
30.3,0.59,789,553,0
31.4,0.59,797,552,0
35.5,0.53,825,570,0
39.4,0.55,852,565,0
40.8,0.57,862,559,0
42.2,0.54,871,567,0
50,0.51,925,575,0
60.7,0.55,997,565,0
70,0.46,1063,588,1
