x,y,pixel_x,pixel_y,gap_before
0.0,0.02,633,822,0
0.18,0.022,640,821,0
0.28,0.055,643,813,0
0.39,0.024,647,821,0
0.53,0.075,652,808,0
0.58,0.105,654,800,0
0.64,0.402,656,724,0
0.7,0.08,659,807,0
0.82,0.035,663,818,0
0.94,0.045,667,815,0
1.04,0.15,671,789,0
1.12,0.06,675,812,0
1.18,0.09,677,804,0
1.25,0.205,679,775,0
1.32,0.085,682,805,0
1.4,0.105,685,800,0
1.49,0.26,687,760,0
1.56,0.115,690,798,0
1.64,0.18,693,781,0
1.74,0.629,696,666,0
1.82,0.205,699,775,0
1.92,0.08,702,807,0
2.04,0.07,706,809,0
2.13,0.185,710,780,0
2.22,0.07,713,809,0
2.36,0.03,718,819,0
2.6,0.025,727,821,0
2.9,0.018,738,822,0
3.2,0.018,749,822,0
3.48,0.028,761,820,0
3.6,0.09,765,804,0
3.69,0.434,769,716,0
3.76,0.105,772,800,0
3.88,0.03,777,819,0
4.03,0.02,782,822,0
4.08,0.07,784,809,0
4.18,0.025,788,821,0
4.55,0.018,802,822,0
5.0,0.016,820,823,0
5.5,0.014,838,823,0
6.0,0.014,856,823,0
6.28,0.018,875,823,0
6.4,0.033,883,822,0
6.52,0.017,888,819,0
7.0,0.014,892,823,0
7.5,0.013,910,823,0
8.0,0.012,929,824,0
8.55,0.012,947,824,0
