x,y,pixel_x,pixel_y,gap_before
16.7,250,345,710,0
18,280,362,708,0
20,320,389,704,0
22,380,416,699,0
24,470,443,692,0
25,540,456,686,0
26,620,470,679,0
27,730,483,670,0
28,860,497,659,0
29,980,510,649,0
30,950,524,652,0
31,960,537,651,0
32,900,551,656,0
33,800,564,664,0
34,650,578,677,0
35,540,591,686,0
36,460,605,693,0
38,420,631,696,0
40,430,658,695,0
42,450,685,693,0
44,460,712,693,0
46,420,739,696,0
48,410,766,697,0
50,390,793,698,0
52,370,820,700,0
54,350,847,702,0
56,330,874,703,0
58,310,901,705,0
60,300,928,706,0
62,280,955,708,0
