x,y,pixel_x,pixel_y,gap_before
5,0.353,307,1069,0
9.89,0.353,350,1069,0
15.59,0.353,400,1069,0
19,0.355,430,1068,0
20.14,0.357,440,1067,0
20.59,0.368,444,1062,0
20.82,0.424,446,1037,0
21.05,0.371,448,1061,0
21.5,0.382,452,1056,0
22.19,0.359,458,1066,0
24.69,0.357,480,1067,0
25.83,0.362,490,1065,0
26.28,0.382,494,1056,0
26.51,0.67,496,927,0
26.74,0.386,498,1054,0
27.2,0.362,502,1065,0
28.33,0.362,512,1065,0
29.02,0.375,518,1059,0
29.24,0.426,520,1036,0
29.59,0.366,523,1063,0
30.15,0.366,528,1063,0
30.84,0.402,534,1047,0
31.29,0.366,538,1063,0
33.23,0.359,555,1066,0
35.39,0.364,574,1064,0
36.07,0.384,580,1055,0
36.53,0.364,584,1064,0
38.35,0.364,600,1064,0
39.15,0.377,607,1058,0
39.49,0.4,610,1048,0
39.83,0.371,613,1061,0
40.4,0.384,618,1055,0
40.97,0.366,623,1063,0
41.76,0.382,630,1056,0
42.45,0.388,636,1053,0
43.02,0.366,641,1063,0
44.04,0.364,650,1064,0
45.07,0.377,659,1058,0
45.86,0.364,666,1064,0
47.11,0.386,677,1054,0
47.8,0.368,683,1062,0
48.37,0.391,688,1052,0
48.82,0.368,692,1062,0
49.5,0.379,698,1057,0
49.73,0.429,700,1035,0
50.19,0.371,704,1061,0
52.12,0.362,721,1065,0
54.06,0.377,738,1058,0
54.51,0.393,742,1051,0
54.97,0.368,746,1062,0
56.56,0.371,760,1061,0
57.13,0.382,765,1056,0
57.7,0.368,770,1062,0
59.07,0.373,782,1060,0
59.52,0.42,786,1039,0
60.09,0.371,791,1061,0
62.37,0.362,811,1065,0
64.76,0.364,832,1064,0
66.46,0.377,847,1058,0
66.92,0.388,851,1053,0
67.49,0.406,856,1045,0
67.94,0.402,860,1047,0
68.4,0.373,864,1060,0
69.99,0.366,878,1063,0
71.93,0.368,895,1062,0
73.29,0.379,907,1057,0
73.86,0.366,912,1063,0
75.34,0.379,925,1057,0
76.14,0.366,932,1063,0
77.62,0.379,945,1057,0
78.41,0.368,952,1062,0
79.55,0.395,962,1050,0
80.24,0.371,968,1061,0
