x,y,pixel_x,pixel_y,gap_before
0.09816,0,389,548,0
0.116,0.136,398,538,0
0.1423,0.312,409,525,0
0.1812,0.569,422,506,0
0.2306,0.84,435,486,0
0.2936,1.111,448,466,0
0.3737,1.355,461,448,0
0.4758,1.504,474,437,0
0.6057,1.612,487,429,0
0.7711,1.667,500,425,0
1,1.707,514,422,0
1.297,1.775,528,417,0
1.682,1.883,542,409,0
2.102,1.938,554,405,0
2.626,1.897,566,408,0
3.406,1.802,580,415,0
4.256,1.762,592,418,1
5.418,1.775,605,417,0
6.898,1.87,618,410,0
8.781,2.019,631,399,0
11.18,2.195,644,386,0
14.23,2.344,657,375,0
17.78,2.412,669,370,0
22.22,2.547,681,360,0
27.77,2.818,693,340,0
34.06,3.184,704,313,0
40.26,3.509,713,289,0
46.7,3.591,721,283,0
48.47,3.604,723,282,0
56.23,3.442,731,294,0
65.24,3.062,739,322,0
75.69,2.453,747,367,0
86.2,1.667,754,425,0
98.16,0.921,761,480,0
109.7,0.352,767,522,0
127.3,0.068,775,543,0
142.3,0,781,548,0
