x,y,pixel_x,pixel_y,gap_before
1800,0.241,217,373,0
1768.6,0.244,240,372,0
1734.6,0.273,265,363,0
1707.3,0.321,285,348,0
1680.1,0.368,305,333,0
1652.8,0.394,325,325,0
1641.9,0.39,333,326,0
1625.6,0.356,345,337,0
1605.1,0.324,360,347,0
1577.9,0.295,380,356,0
1537,0.276,410,362,0
1482.5,0.267,450,365,0
1414.2,0.26,500,367,0
1346.1,0.248,550,371,0
1284.7,0.244,595,372,0
1243.8,0.254,625,369,0
1202.9,0.279,655,361,0
1162,0.321,685,348,0
1127.9,0.371,710,332,0
1093.9,0.435,735,312,0
1062.5,0.508,758,289,0
1035.2,0.597,778,261,0
1012,0.67,795,238,0
991.5,0.695,810,230,0
974.2,0.692,823,231,0
957.8,0.673,835,237,0
937.3,0.632,850,250,0
916.9,0.6,865,260,0
889.6,0.581,885,266,0
869.2,0.578,900,267,0
841.9,0.594,920,262,0
807.9,0.632,945,250,0
773.8,0.648,970,245,0
739.8,0.67,995,238,0
701.4,0.705,1023,227,0
