x,y,pixel_x,pixel_y,gap_before
0.05,8.0,211,1380,0
0.1,8.7,228,1375,0
0.2,9.2,262,1371,0
0.3,9.8,296,1366,0
0.4,10.6,330,1360,0
0.45,11.5,347,1353,0
0.5,15.5,364,1323,0
0.55,17.5,381,1308,0
0.6,19.5,398,1293,0
0.65,21.5,415,1277,0
0.7,22.8,432,1268,0
0.8,23.8,465,1260,0
0.9,22.5,499,1270,0
0.95,21.5,516,1277,0
0.9,21.0,499,1281,0
0.85,20.0,482,1289,0
0.8,18.8,465,1298,0
0.75,17.0,448,1312,0
0.7,15.0,432,1327,0
0.6,13.0,398,1342,0
0.5,11.5,364,1353,0
0.4,10.3,330,1362,0
0.3,9.6,296,1368,0
0.2,9.0,262,1372,0
0.1,8.5,228,1376,0
0.05,8.0,211,1380,0
