x,y,pixel_x,pixel_y,gap_before
1800,0.549,217,276,0
1775.5,0.549,235,276,0
1748.2,0.565,255,271,0
1720.9,0.603,275,259,0
1693.7,0.654,295,243,0
1666.4,0.692,315,231,0
1647.3,0.702,329,228,0
1632.4,0.676,340,236,0
1616,0.641,352,247,0
1591.5,0.606,370,258,0
1557.4,0.581,395,266,0
1516.5,0.568,425,270,0
1468.8,0.565,460,271,0
1414.2,0.565,500,271,0
1366.5,0.556,535,274,0
1318.8,0.552,570,275,0
1277.9,0.552,600,275,0
1237,0.562,630,272,0
1196.1,0.584,660,265,0
1155.2,0.619,690,254,0
1121.1,0.667,715,239,0
1087,0.721,740,222,0
1059.8,0.79,760,200,0
1035.2,0.883,778,171,0
1013.4,0.949,794,150,0
994.3,0.971,808,143,0
976.9,0.968,821,144,0
961.9,0.956,832,148,0
942.8,0.924,846,158,0
923.7,0.889,860,169,0
899.2,0.86,878,178,0
876,0.851,895,181,0
855.6,0.86,910,178,0
828.3,0.889,930,169,0
801.1,0.908,950,163,0
773.8,0.927,970,157,0
746.6,0.956,990,148,0
701.4,0.987,1023,138,0
