x,y,pixel_x,pixel_y,gap_before
10,0.1048,16,446,0
11.17,0.1069,25,445,0
11.82,0.119,30,439,0
12.21,0.1532,33,422,0
12.47,0.1089,35,444,0
15.06,0.0968,55,450,0
17.66,0.0948,75,451,0
19.61,0.0968,90,450,0
20.13,0.1129,94,442,0
20.52,0.1734,97,412,0
20.78,0.1028,99,447,0
23.51,0.0988,120,449,0
24.42,0.1411,127,428,0
24.81,0.1028,130,447,0
26.36,0.1169,142,440,0
26.62,0.6532,144,174,0
26.75,0.123,145,437,0
27.27,0.1552,149,421,0
27.53,0.1008,151,448,0
31.3,0.0948,180,451,0
35.19,0.0988,210,449,0
35.97,0.1351,216,431,0
36.23,0.1008,218,448,0
38.83,0.1028,238,447,0
39.61,0.1331,244,432,0
39.87,0.1028,246,447,0
41.69,0.1371,260,430,0
42.08,0.1028,263,447,0
44.03,0.129,278,434,0
44.42,0.1008,281,448,0
45.45,0.129,289,434,0
45.84,0.1008,292,448,0
48.83,0.0988,315,449,0
49.87,0.121,323,438,0
50.13,0.1935,325,402,0
50.39,0.1028,327,447,0
53.9,0.0988,354,449,0
54.68,0.1411,360,428,0
54.94,0.1028,362,447,0
58.57,0.0988,390,449,0
59.74,0.1371,399,430,0
60,0.1028,401,447,0
62.08,0.123,417,437,0
62.34,0.1008,419,448,0
66.23,0.1008,449,448,0
68.18,0.1351,464,431,0
68.44,0.1028,466,447,0
72.21,0.0988,495,449,0
75.58,0.129,521,434,0
75.84,0.1008,523,448,0
80,0.0988,555,449,0
81.04,0.127,563,435,0
81.3,0.1008,565,448,0
85.84,0.0948,600,451,0
89.87,0.0968,631,450,0
