x,y,pixel_x,pixel_y,gap_before
0.0037,520,226,1210,0
0.006,530,244,1209,0
0.009,525,260,1210,0
0.012,530,272,1209,0
0.016,525,283,1210,0
0.022,515,295,1211,0
0.03,500,309,1212,0
0.04,475,320,1213,0
0.055,430,333,1216,0
0.075,370,346,1220,0
0.1,315,356,1224,0
0.14,255,370,1230,0
0.2,195,384,1237,0
0.28,145,397,1245,0
0.4,105,412,1254,0
0.58,78,426,1262,0
0.82,60,441,1269,0
1.2,47,456,1276,0
1.8,38,473,1282,0
2.7,31,489,1287,0
4.0,25,505,1292,0
6.0,20,521,1298,0
8.5,16,535,1304,0
12,12,551,1312,0
17,8.8,565,1319,0
