x,y,pixel_x,pixel_y,gap_before
0.55,0.11,668,836,0
1.05,0.45,695,767,0
1.2,0.34,703,789,0
1.3,0.64,709,729,0
1.4,0.44,714,769,0
1.45,0.73,717,710,0
1.5,0.56,720,745,0
1.55,0.66,723,725,0
1.6,0.38,725,781,0
1.65,0.61,728,735,0
1.7,0.48,731,761,0
1.75,0.69,734,719,0
1.8,0.54,736,749,0
1.85,0.63,739,731,0
1.9,0.42,742,773,0
1.95,0.58,744,741,0
2.0,0.5,747,757,0
2.05,0.62,750,733,0
2.1,0.37,753,783,0
2.2,0.56,758,745,0
2.3,0.44,764,769,0
2.45,0.33,772,791,0
2.55,0.97,777,662,0
