x,y,pixel_x,pixel_y,gap_before
6.21,0.6066,126,414,0
9.1,0.604,140,416,0
12.21,0.6066,155,414,0
14.28,0.6132,165,409,0
16.34,0.6238,175,401,0
18,0.6331,183,394,0
19.45,0.6371,190,391,0
20.9,0.649,197,382,0
22.34,0.6437,204,386,0
24,0.6583,212,375,0
25.66,0.6517,220,380,0
27.1,0.6702,227,366,0
29.38,0.6623,238,372,1
30.83,0.6543,245,378,0
32.48,0.6424,253,387,0
34.34,0.6384,262,390,0
37.03,0.6252,275,400,0
40.14,0.6212,290,403,0
43.24,0.6172,305,406,0
46.34,0.6199,320,404,0
50.48,0.6238,340,401,0
54.62,0.6252,360,400,0
58.76,0.6291,380,397,0
62.9,0.6318,400,395,0
67.03,0.6305,420,396,0
71.17,0.6278,440,398,0
75.31,0.6238,460,401,0
79.45,0.6172,480,406,0
83.59,0.6119,500,410,0
87.72,0.6106,520,411,0
90,0.6079,531,413,0
