x,y,pixel_x,pixel_y,gap_before
0,0.01,250,1448,0
0.12,0.01,258,1447,0
0.19,0.12,263,1418,0
0.25,0.33,267,1364,0
0.33,0.05,272,1438,0
0.4,0.17,277,1405,0
0.46,0.28,281,1376,0
0.54,0.5,286,1320,0
0.61,0.13,291,1416,0
0.72,0.03,298,1443,0
0.87,0.02,308,1444,0
0.99,0.09,316,1427,0
1.06,0.04,321,1440,0
1.17,0.02,328,1444,0
1.26,0.05,334,1437,0
1.36,0.11,341,1422,0
1.44,0.36,346,1356,0
1.53,0.54,352,1309,0
1.6,0.3,357,1371,0
1.69,0.05,363,1436,0
1.75,0.86,367,1224,0
1.78,0.99,369,1191,0
1.81,0.06,371,1434,0
1.95,0.03,380,1443,0
2.1,0.02,390,1445,0
2.26,0.06,401,1434,0
2.32,0.09,405,1427,0
2.4,0.03,410,1443,0
2.62,0.02,425,1445,0
2.92,0.02,445,1445,0
3.22,0.02,465,1444,0
3.36,0.06,474,1435,0
3.45,0.11,480,1422,0
3.54,0.03,486,1441,0
3.64,0.2,493,1397,0
3.72,0.37,498,1354,0
3.79,0.13,503,1415,0
3.9,0.03,510,1441,0
3.99,0.18,516,1404,0
4.04,0.21,520,1396,0
4.1,0.03,524,1441,0
4.19,0.02,530,1446,0
4.34,0.01,540,1447,0
4.45,0.01,547,1447,0
