x,y,pixel_x,pixel_y,gap_before
1.2,0.1,737,1458,0
1.35,0.31,739,1435,0
1.5,0.55,742,1408,0
1.65,0.83,744,1377,0
1.8,1.1,747,1347,0
2.0,1.38,750,1316,0
2.2,1.62,754,1290,0
2.5,1.86,759,1263,0
2.8,2.03,764,1245,0
3.1,2.14,769,1232,0
3.5,2.23,775,1222,0
4.0,2.31,784,1213,0
4.5,2.36,792,1208,0
5.0,2.4,801,1203,0
6.0,2.45,817,1198,0
7.0,2.49,834,1193,0
8.0,2.52,851,1190,0
9.0,2.55,868,1187,0
10.5,2.58,893,1183,0
12.0,2.62,918,1179,0
13.5,2.66,943,1175,0
15.0,2.7,968,1170,0
16.5,2.74,993,1166,0
18.0,2.78,1018,1162,0
19.5,2.82,1043,1158,0
21.0,2.85,1068,1154,0
22.5,2.87,1093,1151,0
24.0,2.88,1118,1150,0
