x,y,pixel_x,pixel_y,gap_before
0.0037,500,224.3,1210.7,0
0.005,515,236.3,1209.9,0
0.007,525,249.7,1209.4,0
0.014,540,277.4,1208.6,1
0.02,535,291.7,1208.8,0
0.03,510,307.9,1210.1,0
0.04,475,319.4,1212,0
0.055,420,332.1,1215.4,0
0.075,350,344.5,1220.3,0
0.1,285,356,1225.8,0
0.14,225,369.4,1232.2,0
0.2,165,383.7,1240.5,0
0.28,122,397.1,1248.6,0
0.4,88,411.4,1257.4,0
0.58,63,426.2,1266.4,0
0.82,47,440.1,1274.3,0
1.2,36,455.3,1281.5,0
1.7,29,469.2,1287.3,0
2.5,23,484.6,1293.6,0
3.6,18.5,499.2,1299.4,0
5.2,15,513.9,1305.1,0
7.5,12.2,528.5,1310.6,0
11,9.7,543.8,1316.8,0
16,7.8,558.8,1322.7,0
