x,y,pixel_x,pixel_y,gap_before
10,0.489,117,260,0
10.45,0.489,121,260,0
10.89,0.482,125,262,0
11.45,0.482,130,262,0
12,0.472,135,265,0
12.67,0.472,141,265,0
13.34,0.465,147,267,0
14.12,0.461,154,268,0
15.01,0.454,162,270,0
16.01,0.45,171,271,0
17.13,0.45,181,271,0
18.13,0.454,190,270,0
19.02,0.465,198,267,0
19.69,0.479,204,263,0
20.24,0.5,209,257,0
20.58,0.535,212,247,0
20.8,0.553,214,242,0
21.02,0.528,216,249,0
21.25,0.496,218,258,0
21.47,0.543,220,245,0
21.58,0.667,221,210,0
21.69,0.851,222,158,0
21.8,0.989,223,119,0
21.92,0.876,224,151,0
22.03,0.691,225,203,0
22.14,0.574,226,236,0
22.36,0.511,228,254,0
22.69,0.479,231,263,0
23.25,0.465,236,267,0
24.03,0.457,243,269,0
24.92,0.457,251,269,0
25.7,0.465,258,267,0
26.26,0.482,263,262,0
26.59,0.656,266,213,0
26.7,0.543,267,245,0
26.82,0.475,268,264,0
27.04,0.443,270,273,0
27.37,0.454,273,270,0
27.82,0.44,277,274,0
28.26,0.479,281,263,0
28.49,0.45,283,271,0
28.82,0.433,286,276,0
29.38,0.429,291,277,0
29.93,0.436,296,275,0
30.49,0.433,301,276,0
31.05,0.461,306,268,0
31.38,0.489,309,260,0
31.71,0.443,312,273,0
32.16,0.422,316,279,0
32.83,0.415,322,281,0
33.5,0.426,328,278,0
34.16,0.422,334,279,0
34.83,0.433,340,276,0
35.61,0.493,347,259,0
36.06,0.429,351,277,0
36.61,0.411,356,282,0
37.51,0.408,364,283,0
38.51,0.411,373,282,0
39.51,0.426,382,278,0
40.29,0.436,389,275,0
40.85,0.415,394,281,0
41.74,0.411,402,282,0
42.74,0.433,411,276,0
43.3,0.408,416,283,0
44.3,0.404,425,284,0
45.41,0.404,435,284,0
46.53,0.415,445,281,0
47.42,0.404,453,284,0
48.42,0.411,462,282,0
49.42,0.433,471,276,0
50.2,0.457,478,269,0
50.76,0.408,483,283,0
51.76,0.404,492,284,0
52.76,0.411,501,282,0
53.88,0.401,511,285,0
54.99,0.404,521,284,0
56.1,0.426,531,278,0
56.99,0.433,539,276,0
57.66,0.408,545,283,0
58.55,0.404,553,284,0
59.33,0.394,560,287,0
60,0.404,566,284,0
