x,y,pixel_x,pixel_y,gap_before
10,0.76,649,508,0
16.4,0.75,693,511,0
16.7,0.82,695,491,0
17,0.75,697,511,0
20.7,0.74,723,513,0
21,0.81,725,496,0
21.3,0.74,727,513,0
23.3,0.78,741,502,0
25.8,0.79,758,501,0
26.4,0.89,762,474,0
26.7,0.85,764,484,0
27,0.79,766,501,0
28.7,0.78,778,504,0
29.7,0.85,785,484,0
30.3,0.8,789,498,0
31.4,0.81,797,496,0
35.5,0.74,825,515,0
39.4,0.77,852,506,0
40.8,0.79,862,500,0
42.2,0.76,871,508,0
50,0.72,925,519,0
60.7,0.75,997,511,0
70,0.67,1063,532,1
