x,y,pixel_x,pixel_y,gap_before
10,0.36,193,615,0
16.4,0.35,237,617,0
16.7,0.41,239,602,0
17,0.35,241,617,0
20.7,0.34,267,620,0
21,0.4,269,605,0
21.3,0.34,271,620,0
25.8,0.35,302,617,0
26.4,0.44,306,593,0
26.7,0.42,308,600,0
27,0.35,310,617,0
28.7,0.37,322,613,0
29.3,0.43,326,597,0
30.3,0.37,333,612,0
31.4,0.38,341,610,0
33.2,0.35,353,617,0
35.5,0.33,369,623,0
39.4,0.35,396,617,0
40.8,0.37,406,613,0
42.2,0.34,415,620,0
48.2,0.34,455,621,0
60.7,0.35,541,618,0
70,0.27,607,639,1
