x,y,pixel_x,pixel_y,gap_before
5,0.676,307,924,0
9.89,0.676,350,924,0
15.59,0.676,400,924,0
19,0.679,430,923,0
20.14,0.681,440,922,0
20.59,0.692,444,917,0
20.82,0.752,446,890,0
21.05,0.694,448,916,0
21.5,0.705,452,911,0
22.19,0.683,458,921,0
24.69,0.681,480,922,0
25.83,0.685,490,920,0
26.28,0.705,494,911,0
26.51,0.998,496,780,0
26.74,0.71,498,909,0
27.2,0.685,502,920,0
28.33,0.685,512,920,0
29.02,0.699,518,914,0
29.24,0.754,520,889,0
29.59,0.69,523,918,0
30.15,0.69,528,918,0
30.84,0.725,534,902,0
31.29,0.69,538,918,0
33.23,0.683,555,921,0
35.39,0.688,574,919,0
36.07,0.714,580,907,0
36.53,0.688,584,919,0
38.35,0.688,600,919,0
39.15,0.701,607,913,0
39.49,0.73,610,900,0
39.83,0.694,613,916,0
40.4,0.71,618,909,0
40.97,0.69,623,918,0
41.76,0.708,630,910,0
42.45,0.721,636,904,0
43.02,0.69,641,918,0
44.04,0.688,650,919,0
45.07,0.712,659,908,0
45.86,0.69,666,918,0
47.11,0.717,677,906,0
47.8,0.694,683,916,0
48.37,0.725,688,902,0
48.82,0.692,692,917,0
49.5,0.703,698,912,0
49.73,0.766,700,884,0
50.19,0.694,704,916,0
52.12,0.685,721,920,0
54.06,0.699,738,914,0
54.51,0.717,742,906,0
54.97,0.692,746,917,0
56.56,0.694,760,916,0
57.13,0.705,765,911,0
57.7,0.692,770,917,0
59.07,0.696,782,915,0
59.52,0.748,786,892,0
60.09,0.694,791,916,0
62.37,0.685,811,920,0
64.76,0.688,832,919,0
66.46,0.699,847,914,0
66.92,0.717,851,906,0
67.49,0.737,856,897,0
67.94,0.732,860,899,0
68.4,0.696,864,915,0
69.99,0.69,878,918,0
71.93,0.692,895,917,0
73.29,0.703,907,912,0
73.86,0.69,912,918,0
75.34,0.703,925,912,0
76.14,0.69,932,918,0
77.62,0.703,945,912,0
78.41,0.692,952,917,0
79.55,0.719,962,905,0
80.24,0.694,968,916,0
