x,y,pixel_x,pixel_y,gap_before
6.21,0.0397,126,842,0
8.28,0.0397,136,842,0
8.9,0.0636,139,824,0
9.52,0.0437,142,839,0
12.21,0.0424,155,840,0
14.9,0.049,168,835,0
16.97,0.0649,178,823,0
18.21,0.0543,184,831,0
19.45,0.0808,190,811,0
20.69,0.0623,196,825,0
21.93,0.0848,202,808,0
23.17,0.0689,208,820,0
24.41,0.1033,214,794,0
25.66,0.0795,220,812,0
26.69,0.1669,225,746,0
27.31,0.102,228,795,0
29.38,0.0861,238,807,1
30.21,0.0583,242,828,0
32.28,0.0636,252,824,0
34.97,0.0543,265,831,0
38.07,0.0477,280,836,0
42.21,0.0464,300,837,0
46.34,0.049,320,835,0
50.48,0.045,340,838,0
54.62,0.049,360,835,0
58.76,0.045,380,838,0
62.9,0.0424,400,840,0
67.03,0.0437,420,839,0
71.17,0.0397,440,842,0
75.31,0.0344,460,846,0
79.45,0.0291,480,850,0
83.59,0.0225,500,855,0
