x,y,pixel_x,pixel_y,gap_before
153.28,0.3726,505,1019,0
147.81,0.3945,510,1011,0
139.05,0.4192,518,1002,0
128.1,0.4384,528,995,0
114.96,0.4548,540,989,0
102.92,0.4712,551,983,0
93.07,0.4822,560,979,0
83.21,0.4904,569,976,0
75.55,0.5014,576,972,0
72.26,0.5342,579,960,0
16.42,0.9096,630,823,1
10.95,0.8877,635,831,0
5.47,0.8658,640,839,0
2.19,0.8466,643,846,0
-16.42,0.6575,660,915,1
-24.09,0.6219,667,928,0
-33.94,0.5808,676,943,0
-45.99,0.5452,687,956,0
-59.12,0.5096,699,969,0
-72.26,0.4849,711,978,0
-86.5,0.4658,724,985,0
-100.73,0.4466,737,992,0
-114.96,0.4164,750,1003,0
-129.2,0.3781,763,1017,0
-143.43,0.3397,776,1031,0
-158.76,0.3068,790,1043,0
-175.18,0.2849,805,1051,0
-193.8,0.2685,822,1057,0
-213.5,0.2575,840,1061,0
-233.21,0.2411,858,1067,0
-251.82,0.2247,875,1073,0
-267.15,0.1945,889,1084,0
-280.29,0.1671,901,1094,0
-290.15,0.1726,910,1092,0
-300,0.1589,919,1097,0
