x,y,pixel_x,pixel_y,gap_before
10,0.2,649,336,0
16.4,0.19,693,338,0
16.7,0.27,695,317,0
17,0.19,697,338,0
20.7,0.18,723,341,0
21,0.25,725,323,0
21.3,0.18,727,341,0
25.8,0.2,758,335,0
26.4,0.31,762,307,0
26.7,0.27,764,317,0
27,0.2,766,336,0
28.7,0.19,778,339,0
29.7,0.24,785,326,0
30.3,0.21,789,334,0
31.4,0.2,797,336,0
33.2,0.18,809,341,0
35.5,0.16,825,346,0
39.4,0.18,852,342,0
40.8,0.22,862,331,0
42.2,0.17,871,344,0
50,0.13,925,355,0
60.7,0.16,997,347,0
70,0.08,1063,367,1
