x,y,pixel_x,pixel_y,gap_before
10,0.36,649,615,0
16.4,0.35,693,617,0
16.7,0.41,695,602,0
17,0.35,697,617,0
20.7,0.34,723,620,0
21,0.4,725,604,0
21.3,0.34,727,620,0
23.3,0.36,741,615,0
25.8,0.37,758,613,0
26.4,0.46,762,589,0
26.7,0.43,764,597,0
27,0.37,766,613,0
28.7,0.38,778,609,0
29.7,0.44,785,594,0
30.3,0.39,789,608,0
31.4,0.39,797,607,0
35.5,0.33,825,623,0
39.4,0.35,852,617,0
40.8,0.37,862,613,0
42.2,0.34,871,620,0
50,0.31,925,628,0
60.7,0.35,997,617,0
70,0.27,1063,639,1
