x,y,pixel_x,pixel_y,gap_before
6.21,0.8053,126,264,0
8.28,0.8026,136,266,0
10.14,0.8066,145,263,0
12.21,0.8066,155,263,0
14.28,0.8119,165,259,0
16.34,0.8159,175,256,0
17.79,0.8212,182,252,0
19.03,0.8278,188,247,0
20.28,0.8225,194,251,0
21.52,0.8384,200,239,0
22.76,0.8291,206,246,0
24,0.8477,212,232,0
25.24,0.8371,218,240,0
26.48,0.8662,224,218,0
27.31,0.8808,228,207,0
29.38,0.8715,238,214,1
30.21,0.8623,242,221,0
31.45,0.853,248,228,0
32.9,0.8437,255,235,0
34.97,0.8318,265,244,0
37.03,0.8238,275,250,0
40.14,0.8199,290,253,0
43.24,0.8225,305,251,0
46.34,0.8225,320,251,0
50.48,0.8291,340,246,0
54.62,0.8252,360,249,0
58.76,0.8278,380,247,0
62.9,0.8265,400,248,0
67.03,0.8278,420,247,0
71.17,0.8238,440,250,0
75.31,0.8238,460,250,0
79.45,0.8199,480,253,0
83.59,0.8146,500,257,0
87.72,0.8106,520,260,0
90,0.8079,531,262,0
