x,y,pixel_x,pixel_y,gap_before
0.0,0.07,632,371,0
0.18,0.07,639,371,0
0.28,0.14,642,351,0
0.38,0.08,646,368,0
0.47,0.1,649,362,0
0.63,0.09,655,365,0
0.71,0.49,658,255,0
0.8,0.12,661,357,0
0.94,0.1,666,362,0
1.05,0.43,670,271,0
1.13,0.13,674,354,0
1.24,0.11,677,360,0
1.31,0.48,679,258,0
1.39,0.15,682,349,0
1.49,0.42,686,274,0
1.58,0.14,689,351,0
1.67,0.12,692,357,0
1.76,0.7,696,197,0
1.86,0.19,699,338,0
1.95,0.14,702,351,0
2.05,0.12,706,357,0
2.13,0.67,709,205,0
2.22,0.2,712,335,0
2.32,0.13,716,354,0
2.55,0.11,724,360,0
2.9,0.1,737,362,0
3.3,0.1,751,362,0
3.55,0.11,760,360,0
3.69,0.56,765,235,0
3.79,0.14,769,351,0
4.03,0.16,778,346,0
4.13,0.1,782,362,0
4.5,0.09,794,365,0
5.0,0.09,812,365,0
5.5,0.08,830,365,0
6.0,0.08,848,368,0
6.5,0.08,866,368,0
7.0,0.08,884,368,0
7.5,0.08,902,368,0
8.0,0.08,920,368,0
8.45,0.08,958,368,0
