x,y,pixel_x,pixel_y,gap_before
0.07,0.16,330,840,0
0.07,0.23,330,823,0
0.12,0.62,346,728,0
0.13,0.66,349,718,0
0.15,0.34,355,796,0
0.17,0.47,361,764,0
0.18,0.83,364,677,0
0.19,0.27,367,813,0
0.2,0.22,370,825,0
0.2,0.37,370,789,0
0.21,0.74,373,699,0
0.22,0.31,376,803,0
0.23,0.46,379,767,0
0.23,0.87,379,667,0
0.24,0.28,382,811,0
0.24,0.8,382,684,0
0.25,0.34,385,796,0
0.26,0.18,388,835,0
0.27,0.24,391,820,0
0.28,0.5,394,757,0
0.29,0.31,397,803,0
0.3,0.42,400,776,0
0.31,0.19,403,833,0
0.33,0.36,409,791,0
0.37,0.47,421,764,0
