x,y,pixel_x,pixel_y,gap_before
0.0037,52,224.3,1271.6,0
0.005,53,236.3,1271.1,0
0.007,54,249.7,1270.6,0
0.014,63,277.4,1266.4,1
0.02,60,291.7,1267.8,0
0.03,55,307.9,1270.1,0
0.04,49,319.4,1273.2,0
0.055,40,332.1,1278.7,0
0.075,31,344.5,1285.5,0
0.1,24,356,1292.4,0
0.14,18,369.4,1300.2,0
0.2,13,383.7,1308.9,0
0.28,9.6,397.1,1317.1,0
0.4,7.1,411.4,1325.2,0
0.58,5.2,426.2,1333.6,0
0.82,4,440.1,1340.7,0
1.2,3,455.3,1348.4,0
1.7,2.4,469.2,1354.4,0
2.5,2,484.6,1359.3,0
3.6,1.75,499.2,1362.9,0
5.2,1.58,513.9,1365.7,0
7.5,1.48,528.5,1367.4,0
11,1.42,543.8,1368.6,0
16,1.38,558.8,1369.3,0
