x,y,pixel_x,pixel_y,gap_before
5,0.357,300,416,0
9.5,0.357,340,416,0
14,0.357,380,416,0
18.5,0.359,420,415,0
19.86,0.361,432,414,0
20.31,0.372,436,409,0
20.53,0.422,438,386,0
20.76,0.374,440,408,0
21.32,0.385,445,403,0
21.88,0.365,450,412,0
24.13,0.361,470,414,0
25.71,0.361,484,414,0
26.16,0.383,488,404,0
26.27,0.661,489,276,0
26.5,0.387,491,402,0
27.06,0.365,496,412,0
28.3,0.365,507,412,0
28.86,0.376,512,407,0
29.2,0.465,515,366,0
29.53,0.367,518,411,0
30.1,0.367,523,411,0
30.66,0.433,528,381,0
31.11,0.37,532,410,0
33.14,0.361,550,414,0
34.94,0.365,566,412,0
35.95,0.367,575,411,0
36.29,0.398,578,397,0
36.62,0.365,581,412,0
38.09,0.365,594,412,0
38.87,0.376,601,407,0
39.21,0.428,604,383,0
39.66,0.372,608,409,0
40.23,0.387,613,402,0
40.79,0.365,618,412,0
41.46,0.391,624,400,0
42.14,0.365,630,412,0
42.81,0.396,636,398,0
43.49,0.365,642,412,0
44.39,0.363,650,413,0
45.29,0.38,658,405,0
45.96,0.363,664,413,0
46.98,0.389,673,401,0
47.65,0.367,679,411,0
48.22,0.398,684,397,0
48.67,0.367,688,411,0
49.57,0.372,696,409,0
49.9,0.433,699,381,0
50.35,0.367,703,411,0
52.27,0.361,720,414,0
54.07,0.367,736,411,0
54.52,0.391,740,400,0
54.97,0.365,744,412,0
56.54,0.367,758,411,0
57.11,0.378,763,406,0
57.67,0.365,768,412,0
59.02,0.365,780,412,0
59.47,0.415,784,389,0
60.03,0.367,789,411,0
62.4,0.361,810,414,0
64.65,0.363,830,413,0
66.45,0.367,846,411,0
66.9,0.393,850,399,0
67.35,0.402,854,395,0
67.8,0.415,858,389,0
68.25,0.372,862,409,0
69.71,0.365,875,412,0
71.4,0.367,890,411,0
72.97,0.378,904,406,0
73.65,0.365,910,412,0
75.34,0.38,925,405,0
75.9,0.365,930,412,0
77.48,0.378,944,406,0
78.15,0.367,950,411,0
79.28,0.396,960,398,0
80.18,0.37,968,410,0
