x,y,pixel_x,pixel_y,gap_before
1800,0.013,217,445,0
1768.6,0.016,240,444,0
1741.4,0.035,260,438,0
1714.1,0.076,280,425,0
1686.9,0.124,300,410,0
1662.3,0.149,318,402,0
1647.3,0.156,329,400,0
1635.1,0.143,338,404,0
1618.8,0.105,350,416,0
1598.3,0.07,365,427,0
1571.1,0.044,385,435,0
1537,0.032,410,439,0
1496.1,0.025,440,441,0
1441.5,0.022,480,442,0
1387,0.019,520,443,0
1332.4,0.016,560,444,0
1284.7,0.019,595,443,0
1243.8,0.032,625,439,0
1202.9,0.063,655,429,0
1162,0.105,685,416,0
1127.9,0.156,710,400,0
1093.9,0.213,735,382,0
1062.5,0.283,758,360,0
1035.2,0.362,778,335,0
1012,0.422,795,316,0
991.5,0.451,810,307,0
974.2,0.451,823,307,0
957.8,0.432,835,313,0
937.3,0.39,850,326,0
916.9,0.356,865,337,0
889.6,0.337,885,343,0
869.2,0.333,900,344,0
841.9,0.349,920,339,0
807.9,0.381,945,329,0
773.8,0.403,970,322,0
739.8,0.429,995,314,0
701.4,0.454,1023,306,0
