x,y,pixel_x,pixel_y,gap_before
0,0.02,686,1449,0
0.06,0.16,690,1411,0
0.13,0.05,695,1440,0
0.21,0.11,700,1424,0
0.28,0.07,705,1435,0
0.37,0.17,711,1407,0
0.48,0.27,718,1382,0
0.57,0.08,724,1433,0
0.81,0.02,740,1447,0
1.1,0.02,760,1448,0
1.4,0.02,780,1448,0
1.6,0.05,793,1440,0
1.69,0.95,799,1202,0
1.73,1,802,1189,0
1.78,0.05,805,1439,0
2,0.03,820,1446,0
2.3,0.02,840,1447,0
2.6,0.02,860,1448,0
2.9,0.02,880,1448,0
3.25,0.02,904,1447,0
3.31,0.06,908,1436,0
3.4,0.09,914,1428,0
3.46,0.03,918,1445,0
3.63,0.03,929,1446,0
3.69,0.06,934,1436,0
3.76,0.09,938,1428,0
3.82,0.03,942,1446,0
4.15,0.02,964,1448,0
4.46,0.02,985,1448,0
