x,y,pixel_x,pixel_y,gap_before
10,0.477,680,304,0
11.54,0.471,690,306,0
13.08,0.474,700,305,0
14.62,0.462,710,309,0
15.85,0.468,718,307,0
16.15,0.5,720,296,0
16.31,0.642,721,247,0
16.46,0.465,722,308,0
17.69,0.465,730,308,0
18.92,0.477,738,304,0
20,0.5,745,296,0
20.46,0.526,748,287,0
20.62,0.607,749,259,0
20.77,0.506,750,294,0
22.31,0.477,760,304,0
23.85,0.462,770,309,0
25.38,0.465,780,308,0
26,0.506,784,294,0
26.15,0.876,785,166,0
26.31,0.488,786,300,0
26.92,0.471,790,306,0
28.46,0.465,800,308,0
30,0.457,810,311,0
30.77,0.462,815,309,0
31.08,0.546,817,280,0
31.23,0.462,818,309,0
32.46,0.459,826,310,0
33.08,0.465,830,308,0
33.23,0.578,831,269,0
33.38,0.462,832,309,0
34.62,0.462,840,309,0
35.08,0.587,843,266,0
35.23,0.457,844,311,0
36.92,0.451,855,313,0
38.92,0.451,868,313,0
39.38,0.54,871,282,0
39.54,0.454,872,312,0
40.62,0.462,879,309,0
40.77,0.639,880,248,0
40.92,0.459,881,310,0
42.15,0.457,889,311,0
42.62,0.532,892,285,0
42.77,0.454,893,312,0
44.62,0.448,905,314,0
46.92,0.442,920,316,0
50,0.439,940,317,0
53.08,0.445,960,315,0
56.15,0.434,980,319,0
59.23,0.434,1000,319,0
60.15,0.52,1006,289,0
60.31,0.431,1007,320,0
62.31,0.428,1020,321,0
63.85,0.491,1030,299,0
64,0.428,1031,321,0
65.38,0.431,1040,320,0
67.69,0.419,1055,324,0
70,0.413,1070,326,0
