x,y,pixel_x,pixel_y,gap_before
-0.05,0.01,642,361,0
0.1,0.02,648,358,0
0.2,0.04,652,354,0
0.28,0.1,656,338,0
0.34,0.07,658,346,0
0.43,0.03,662,356,0
0.5,0.18,665,318,0
0.53,0.4,666,263,0
0.57,0.24,668,303,0
0.64,0.08,671,343,0
0.78,0.03,677,356,0
0.92,0.04,683,353,0
1.04,0.2,688,313,0
1.1,0.08,690,343,0
1.18,0.06,694,348,0
1.25,0.14,697,328,0
1.32,0.07,699,346,0
1.41,0.09,703,340,0
1.49,0.22,707,308,0
1.56,0.09,710,341,0
1.65,0.13,713,331,0
1.74,0.58,717,219,0
1.8,0.22,720,308,0
1.91,0.07,724,346,0
2.02,0.12,729,334,0
2.1,0.43,732,256,0
2.16,0.25,735,301,0
2.23,0.09,738,341,0
2.35,0.05,743,351,0
2.55,0.03,751,356,0
2.75,0.02,759,359,0
3.1,0.02,774,359,0
3.45,0.03,789,356,0
3.62,0.09,796,341,0
3.69,0.39,799,266,0
3.76,0.13,803,331,0
3.85,0.04,806,353,0
4.05,0.02,814,359,0
4.2,0.06,820,348,0
4.28,0.02,824,358,0
4.6,0.01,837,361,0
5.0,0.01,854,361,0
5.5,0.01,875,361,0
6.0,0.01,896,361,0
6.4,0.03,913,355,0
6.55,0.01,919,361,0
7.0,0.01,938,361,0
7.5,0.01,959,361,0
8.0,0.01,980,361,0
