x,y,pixel_x,pixel_y,gap_before
4000,0.825,98,580,0
3842.2,0.825,120,580,0
3784.8,0.818,128,582,0
3741.8,0.803,134,586,0
3698.8,0.774,140,594,0
3641.4,0.734,148,605,0
3569.7,0.708,158,612,0
3454.9,0.701,174,614,1
3411.9,0.701,180,614,0
3304.3,0.708,195,612,0
3125,0.73,220,606,0
2909.8,0.759,250,598,0
2694.7,0.785,280,591,0
2551.2,0.792,300,589,0
2264.3,0.792,340,589,0
1977.5,0.796,380,588,0
1762.3,0.785,410,591,0
1690.6,0.752,420,600,0
1597.3,0.755,433,599,1
1554.3,0.781,439,592,0
1496.9,0.788,447,590,0
1439.5,0.766,455,596,0
916,0.734,528,605,1
865.8,0.741,535,603,0
815.6,0.726,542,607,0
758.2,0.712,550,611,0
672.1,0.708,562,612,1
578.9,0.719,575,609,0
500,0.726,586,607,0
