x,y,pixel_x,pixel_y,gap_before
10,0.47,649,265,0
16.4,0.45,693,270,0
16.7,0.52,695,251,0
17,0.45,697,270,0
20.7,0.44,723,273,0
21,0.5,725,256,0
21.3,0.44,727,273,0
25.8,0.46,758,267,0
26.4,0.57,762,238,0
26.7,0.54,764,245,0
27,0.46,766,267,0
28.7,0.45,778,270,0
29.7,0.51,785,253,0
30.3,0.47,789,264,0
31.4,0.46,797,267,0
33.2,0.44,809,272,0
35.5,0.42,825,278,0
39.4,0.44,852,272,0
40.8,0.48,862,260,0
42.2,0.43,871,275,0
50,0.39,925,285,0
60.7,0.42,997,277,0
70,0.34,1063,298,1
