x,y,pixel_x,pixel_y,gap_before
10,0.76,193,508,0
16.4,0.75,237,510,0
16.7,0.82,239,492,0
17,0.75,241,510,0
20.7,0.74,267,513,0
21,0.81,269,495,0
21.3,0.74,271,513,0
25.8,0.75,302,510,0
26.4,0.87,306,479,0
26.7,0.83,308,489,0
27,0.75,310,510,0
28.7,0.77,322,505,0
29.3,0.86,326,482,0
30.3,0.78,333,503,0
31.4,0.8,341,498,0
33.2,0.76,353,509,0
35.5,0.74,369,515,0
39.4,0.77,396,506,0
40.8,0.79,406,500,0
42.2,0.76,415,508,0
48.2,0.78,455,504,0
60.7,0.75,541,511,0
70,0.67,607,532,1
