x,y,pixel_x,pixel_y,gap_before
0,0,389,1463,0
10,0,433,1463,0
20,0,478,1463,0
30,0,522,1463,0
40,1,566,1463,0
50,2,611,1462,0
60,4,655,1461,0
65,7,677,1460,0
68,12,690,1458,0
70,20,699,1454,0
72,35,708,1447,0
74,50,717,1441,0
76,70,726,1432,0
78,95,735,1421,0
80,125,744,1408,0
82,165,753,1390,0
84,210,761,1370,0
86,250,770,1352,0
88,285,779,1337,0
90,320,788,1321,0
92,350,797,1308,0
95,400,810,1286,0
100,455,832,1261,0
105,490,854,1246,0
110,515,877,1235,0
115,530,899,1228,0
120,540,921,1224,0
