x,y,pixel_x,pixel_y,gap_before
10,0.78,193,182,0
16.4,0.76,237,186,0
16.7,0.83,239,169,0
17,0.76,241,186,0
20.7,0.75,267,188,0
21,0.81,269,174,0
21.3,0.75,271,188,0
25.8,0.76,302,186,0
26.4,0.87,306,158,0
26.7,0.83,308,168,0
27,0.77,310,185,0
28.7,0.76,322,187,0
29.7,0.82,329,170,0
30.3,0.78,333,182,0
31.4,0.79,341,180,0
33.2,0.76,353,187,0
35.5,0.74,369,192,0
39.4,0.77,396,185,0
40.8,0.79,406,179,0
42.2,0.76,415,186,0
50,0.72,469,197,0
60.5,0.75,541,190,0
70,0.67,607,211,1
