x,y,pixel_x,pixel_y,gap_before
5,68,411,1262,0
7.5,58,422,1292,0
10,48,433,1321,0
12.5,41,444,1342,0
15,36,456,1357,0
20,30,478,1374,0
25,25,500,1389,0
30,22,522,1398,0
35,21,544,1401,0
40,20,566,1404,0
45,19.5,589,1405,0
50,20,611,1404,0
55,19,633,1407,0
60,20,655,1404,0
65,23,677,1395,0
70,26,699,1386,0
72.5,25,710,1389,0
75,23,721,1395,0
80,19,744,1407,0
85,14,766,1422,0
90,10,788,1433,0
95,7,810,1442,0
100,4.5,832,1450,0
105,3,854,1454,0
110,2,877,1457,0
115,1,899,1460,0
120,0,921,1463,0
