x,y,pixel_x,pixel_y,gap_before
4000,0.653,98,627,0
3799.2,0.653,126,627,0
3756.1,0.639,132,631,0
3698.8,0.606,140,640,0
3627,0.577,150,648,0
3555.3,0.562,160,652,0
3454.9,0.558,174,653,1
3340.2,0.566,190,651,0
3125,0.588,220,645,0
2909.8,0.613,250,638,0
2694.7,0.635,280,632,0
2479.5,0.657,310,626,0
2192.6,0.653,350,627,0
1905.7,0.65,390,628,0
1733.6,0.628,414,634,0
1676.2,0.591,422,644,0
1597.3,0.613,433,638,1
1547.1,0.639,440,631,0
1489.8,0.635,448,632,0
1432.4,0.613,456,638,0
1375,0.631,464,633,0
1317.6,0.62,472,636,0
1260.2,0.631,480,633,0
1217.2,0.58,486,647,0
1174.2,0.566,492,651,0
1080.9,0.562,505,652,0
959,0.577,522,648,1
901.6,0.599,530,642,0
829.9,0.573,540,649,0
758.2,0.566,550,651,0
672.1,0.569,562,650,1
578.9,0.573,575,649,0
500,0.58,586,647,0
