x,y,pixel_x,pixel_y,gap_before
1.2,0.02,737,1467,0
1.35,0.18,739,1449,0
1.5,0.43,742,1421,0
1.65,0.7,744,1391,0
1.8,0.98,747,1360,0
2.0,1.27,750,1329,0
2.2,1.52,754,1301,0
2.5,1.78,759,1272,0
2.8,1.96,764,1252,0
3.1,2.08,769,1239,0
3.5,2.18,775,1227,0
4.0,2.27,784,1217,0
4.5,2.34,792,1210,0
5.0,2.39,801,1204,0
6.0,2.45,817,1198,0
7.0,2.49,834,1193,0
8.0,2.53,851,1189,0
9.0,2.56,868,1185,0
10.5,2.6,893,1181,0
12.0,2.64,918,1177,0
13.5,2.68,943,1174,0
15.0,2.73,968,1168,0
16.5,2.77,993,1163,0
18.0,2.81,1018,1159,0
19.5,2.85,1043,1155,0
21.0,2.88,1068,1151,0
22.5,2.9,1093,1148,0
24.0,2.89,1118,1149,0
