x,y,pixel_x,pixel_y,gap_before
4000,0.157,98,763,0
3799.2,0.157,126,763,0
3756.1,0.135,132,769,0
3698.8,0.091,140,781,0
3627,0.066,150,788,0
3555.3,0.055,160,791,0
3454.9,0.051,174,792,1
3340.2,0.058,190,790,0
3125,0.08,220,784,0
2909.8,0.106,250,777,0
2694.7,0.128,280,771,0
2479.5,0.142,310,767,0
2192.6,0.139,350,768,0
1905.7,0.131,390,770,0
1733.6,0.113,414,775,0
1676.2,0.077,422,785,0
1597.3,0.102,433,778,1
1547.1,0.124,440,772,0
1489.8,0.12,448,773,0
1432.4,0.095,456,780,0
1375,0.117,464,774,0
1317.6,0.106,472,777,0
1260.2,0.113,480,775,0
1217.2,0.051,486,792,0
1116.8,0.04,500,795,0
1045.1,0.04,510,795,0
959,0.055,522,791,1
901.6,0.077,530,785,0
829.9,0.051,540,792,0
758.2,0.036,550,796,0
672.1,0.04,562,795,1
578.9,0.047,575,793,0
500,0.055,586,791,0
