x,y,pixel_x,pixel_y,gap_before
0.0036,55,224,1271,0
0.005,55,237,1271,0
0.0065,58,247,1269,0
0.0085,60,258,1268,0
0.011,65,269,1265,0
0.015,64,281,1266,0
0.02,61,292,1268,0
0.028,59,305,1269,0
0.04,53,320,1272,0
0.055,43,332,1278,0
0.075,34,345,1284,0
0.1,27,356,1290,0
0.14,21,369,1296,0
0.2,15.5,384,1305,0
0.28,11.5,397,1312,0
0.4,8.2,412,1323,0
0.58,5.8,426,1332,0
0.82,4.2,441,1340,0
1.2,3.0,456,1348,0
1.8,2.1,473,1358,0
2.7,1.55,489,1366,0
4.0,1.15,505,1374,0
6.0,0.91,521,1380,0
8.5,0.75,535,1386,0
11.5,0.66,547,1390,0
15.5,0.61,557,1392,0
18.0,0.65,565,1390,0
