x,y,pixel_x,pixel_y,gap_before
10,0.37,193,290,0
16.4,0.37,237,290,0
16.7,0.42,239,278,0
17,0.37,241,290,0
20.7,0.36,267,292,0
21,0.41,269,281,0
21.3,0.36,271,292,0
25.8,0.37,302,290,0
26.4,0.45,306,270,0
26.7,0.43,308,274,0
27,0.37,310,291,0
28.7,0.37,322,290,0
29.7,0.41,329,280,0
30.3,0.38,333,288,0
31.4,0.39,341,285,0
33.2,0.37,353,291,0
35.5,0.35,369,295,0
39.4,0.37,396,291,0
40.8,0.38,406,289,0
42.2,0.36,415,293,0
50,0.33,469,302,0
60.5,0.36,541,292,0
70,0.28,607,315,1
