x,y,pixel_x,pixel_y,gap_before
0.0045,58,233,1269,0
0.006,58,244,1269,0
0.008,62,255,1267,0
0.011,67,269,1263,0
0.015,72,281,1260,0
0.021,70,293,1261,0
0.03,67,309,1263,0
0.042,65,322,1264,0
0.058,56,335,1270,0
0.08,45,346,1277,0
0.11,36,359,1283,0
0.15,28,372,1290,0
0.21,21,386,1297,0
0.3,15.5,401,1305,0
0.43,11.5,415,1312,0
0.62,8.2,430,1323,0
0.9,6.0,445,1330,0
1.3,4.5,459,1338,0
1.9,3.4,476,1345,0
2.8,2.7,490,1351,0
4.1,2.2,506,1357,0
6.0,1.9,521,1361,0
8.5,1.7,535,1364,0
12,1.6,551,1365,0
17,1.6,565,1365,0
